tconst,titleType,primaryTitle,originalTitle,isAdult,startYear,endYear,runtimeMinutes,genres,averageRating,numVotes
tt0115963,movie,The Craft,The Craft,0,1996,\N,101,"Drama,Fantasy,Horror",6.4,105792
tt0116136,movie,DragonHeart,DragonHeart,0,1996,\N,103,"Action,Adventure,Fantasy",6.4,101058
tt0116209,movie,The English Patient,The English Patient,0,1996,\N,162,"Drama,Romance,War",7.4,198159
tt0116213,movie,Eraser,Eraser,0,1996,\N,115,"Action,Crime,Thriller",6.2,117281
tt0116282,movie,Fargo,Fargo,0,1996,\N,98,"Crime,Thriller",8.1,714322
tt0116367,movie,From Dusk Till Dawn,From Dusk Till Dawn,0,1996,\N,108,"Action,Crime,Horror",7.2,335448
tt0116483,movie,Happy Gilmore,Happy Gilmore,0,1996,\N,92,"Comedy,Sport",7,243341
tt0116583,movie,The Hunchback of Notre Dame,The Hunchback of Notre Dame,0,1996,\N,91,"Animation,Drama,Family",7,169259
tt0116629,movie,Independence Day,Independence Day,0,1996,\N,145,"Action,Adventure,Sci-Fi",7,599545
tt0116695,movie,Jerry Maguire,Jerry Maguire,0,1996,\N,139,"Comedy,Drama,Romance",7.3,283302
tt0116705,movie,Jingle All the Way,Jingle All the Way,0,1996,\N,89,"Adventure,Comedy,Family",5.7,115255
tt0116922,movie,Lost Highway,Lost Highway,0,1997,\N,134,"Mystery,Thriller",7.6,151153
tt0116996,movie,Mars Attacks!,Mars Attacks!,0,1996,\N,106,"Comedy,Sci-Fi",6.4,240799
tt0117008,movie,Matilda,Matilda,0,1996,\N,98,"Comedy,Family,Fantasy",7,171297
tt0117060,movie,Mission: Impossible,Mission: Impossible,0,1996,\N,110,"Action,Adventure,Thriller",7.2,464183
