id,name,host_id,host_name,neighbourhood_group,neighbourhood,latitude,longitude,room_type,price,minimum_nights,number_of_reviews,last_review,reviews_per_month,calculated_host_listings_count,availability_365,number_of_reviews_ltm,license
590579464403439600,Rental unit in Chicago · Studio · 1 bed · 1 bath,451250349,Jquail,NA,Uptown,41.96589,-87.65756,Entire home/apt,200,32,0,NA,NA,1,180,0,NA
590591161012149900,Rental unit in Chicago · ★4.92 · 1 bedroom · 2 beds · 1 bath,9923391,Jennifer,NA,Lincoln Park,41.921867,-87.653091,Entire home/apt,106,2,87,2023-11-19,4.28,3,133,43,R23000104250
580386798566485200,Rental unit in Chicago · ★4.80 · 2 bedrooms · 3 beds · 1 bath,69130426,Charla,NA,Hyde Park,41.79831,-87.60341,Entire home/apt,110,32,5,2023-07-19,0.26,2,189,2,NA
590769023911548300,Rental unit in Chicago · ★4.76 · 2 bedrooms · 2 beds · 1 bath,40832200,Michael,NA,Douglas,41.83231,-87.62002,Entire home/apt,89,2,37,2023-11-11,1.8,7,270,17,R19000043783
580403926752830800,Rental unit in Chicago · ★4.74 · 2 bedrooms · 2 beds · 2 baths,248760412,Cloud9,NA,Near West Side,41.878617455872785,-87.64337531910279,Entire home/apt,353,2,34,2023-12-11,1.85,51,351,27,R22000078099
590862841118193300,Loft in Chicago · ★4.38 · 1 bedroom · 1 bed · 2 shared baths,139765116,Jose,NA,Bridgeport,41.83926,-87.66092,Private room,53,2,13,2023-07-16,0.65,6,365,2,R22000078019
580550047834328700,Home in Chicago · ★4.77 · 1 bedroom · 1 bed · 1 shared bath,246839504,Silvia,NA,Woodlawn,41.78282,-87.60893,Private room,45,2,60,2023-10-23,2.82,5,364,26,R21000062932
591460077768655900,Rental unit in Chicago · ★5.0 · 3 bedrooms · 3 beds · 2 baths,447064744,Kwan,NA,Rogers Park,42.01769,-87.66949,Entire home/apt,191,2,53,2023-11-27,2.63,1,356,27,R22000078897
581076315528389200,Home in Chicago · ★4.95 · 2 bedrooms · 2 beds · 1 bath,1666010,Rachel,NA,West Town,41.90677,-87.68532,Entire home/apt,139,2,43,2023-11-05,2.11,1,160,15,R23000100775
582032890221566500,Townhouse in Chicago · ★4.50 · 2 bedrooms · 2 beds · 1 bath,371702427,Adetoke,NA,Austin,41.8698,-87.75788,Entire home/apt,109,32,4,2022-05-31,0.19,1,365,0,R22000079538
591475031049104400,Rental unit in Chicago · ★4.16 · 1 bedroom · 1 bed · 1 shared bath,442225178,Mirko,NA,Mckinley Park,41.83467,-87.66418,Private room,21,2,38,2023-12-08,1.84,4,238,17,R22000079879
591540741409328100,Home in Chicago · ★4.63 · 1 bedroom · 1 bed · 1.5 shared baths,40832200,Michael,NA,Douglas,41.83166,-87.6194,Private room,45,2,35,2023-11-29,1.7,7,180,15,R19000043783
582493138485261600,Bed and breakfast in Chicago · ★4.65 · 1 bedroom · 1 bed · 1 shared bath,71816766,Josh,NA,Edgewater,41.99745,-87.67005,Private room,35,1,20,2023-11-12,1.1,5,0,13,R17000014652
582510804895736400,Serviced apartment in Chicago · 1 bedroom · 2 beds · 1 bath,33127842,Kari,NA,Near North Side,41.89575,-87.633,Entire home/apt,169,32,0,NA,NA,19,365,0,NA
582554540712580100,Rental unit in Chicago · 2 bedrooms · 2 beds · 1 bath,25561251,Chicago Home Stays,NA,Lower West Side,41.856529,-87.681747,Entire home/apt,38,32,2,2022-08-08,0.1,11,292,0,NA
592038400483879300,Guest suite in Chicago · ★4.92 · 1 bedroom · 1 bath,451528879,Emily,NA,Irving Park,41.95707,-87.71429,Entire home/apt,96,2,39,2023-10-01,1.87,1,100,19,R22000079885
592061416301227800,Serviced apartment in Chicago · 2 bedrooms · 2 beds · 2 baths,396270947,Jennifer,NA,Near North Side,41.89028,-87.62616,Entire home/apt,196,32,2,2022-10-02,0.12,40,255,0,NA
592064872393973600,Serviced apartment in Chicago · 2 bedrooms · 2 beds · 2.5 baths,396270947,Jennifer,NA,Near North Side,41.89110565185547,-87.62703704833984,Entire home/apt,219,32,0,NA,NA,40,321,0,NA
582771661271664800,Rental unit in Chicago · 1 bedroom · 2 beds · 1 shared bath,369311284,Vayrhenia,NA,Chatham,41.74249058037629,-87.60204732032025,Private room,65,32,0,NA,NA,1,0,0,R12745327897
592070204527529300,Serviced apartment in Chicago · 1 bedroom · 1 bed · 1 bath,396270947,Jennifer,NA,Near West Side,41.8781,-87.6502,Entire home/apt,171,32,2,2023-11-04,1.33,40,365,2,NA
582834897413067800,Serviced apartment in Chicago · 2 bedrooms · 3 beds · 2 baths,63313003,K,NA,Loop,41.88575,-87.61898,Entire home/apt,238,32,1,2023-05-27,0.15,16,365,1,NA
592767659387926500,Rental unit in Chicago · ★4.22 · 1 bedroom · 1 bed · 1 shared bath,442225178,Mirko,NA,Mckinley Park,41.83431,-87.66468,Private room,23,2,49,2023-11-26,2.36,4,251,26,R22000079879
582859740787318900,Serviced apartment in Chicago · 1 bedroom · 1 bed · 1 bath,63313003,K,NA,Loop,41.88561,-87.6198,Entire home/apt,166,32,2,2022-07-18,0.11,16,365,0,NA
582921667905672200,Condo in Chicago · ★4.92 · 1 bedroom · 1 bed · 1 bath,172755286,Justin,NA,Lake View,41.95366,-87.64735,Entire home/apt,81,1,50,2023-11-23,2.4,2,42,25,R19000042243
582941763450379300,Condo in Chicago · ★4.67 · 3 bedrooms · 5 beds · 2 baths,277460072,Arsène,NA,Washington Park,41.78666,-87.61739,Entire home/apt,173,2,3,2023-03-23,0.18,4,354,2,R22000087052
592771654273240700,Rental unit in Chicago · ★4.14 · 1 bedroom · 1 bed · 1 shared bath,442225178,Mirko,NA,Mckinley Park,41.83425,-87.66424,Private room,21,2,57,2023-11-26,2.74,4,258,32,R22000079879
592815021305952500,Rental unit in Chicago · ★4.44 · 1 bedroom · 1 bed · 1.5 shared baths,450930758,Eladio,NA,Brighton Park,41.82666,-87.69286,Private room,21,2,36,2023-12-13,1.74,8,257,16,R22000079859
592817414733439700,Rental unit in Chicago · ★4.42 · 1 bedroom · 1 bed · 1.5 shared baths,450930758,Eladio,NA,Brighton Park,41.82468,-87.69353,Private room,22,2,35,2023-09-13,1.68,8,0,15,R22000079859
583130832324856300,Serviced apartment in Chicago · 1 bedroom · 2 beds · 1 bath,63313003,K,NA,Near North Side,41.89749,-87.63267,Entire home/apt,136,32,0,NA,NA,16,365,0,NA
592819153097686100,Rental unit in Chicago · ★4.44 · 1 bedroom · 1 bed · 1.5 shared baths,450930758,Eladio,NA,Brighton Park,41.82665,-87.69208,Private room,25,2,41,2023-11-22,1.97,8,253,16,R22000079859
592885157625123700,Loft in Chicago · ★4.71 · 1 bedroom · 2 beds · 1 bath,139765116,Jose,NA,Bridgeport,41.84119,-87.65942,Private room,53,2,7,2023-08-12,0.35,6,350,1,R22000078019
583306034221049500,Rental unit in Chicago · ★4.56 · 2 bedrooms · 2 beds · 1 bath,436809861,Inca And Chris,NA,Lake View,41.9437,-87.6448,Entire home/apt,53,1,41,2023-12-13,2.03,8,162,28,R22000092442
598639762355037700,Rental unit in Chicago · ★4.83 · 2 bedrooms · 3 beds · 1 bath,77414650,Red Door,NA,Woodlawn,41.77486,-87.60748,Entire home/apt,111,32,12,2023-02-24,0.59,21,365,6,R19000046222
593437605186569900,Serviced apartment in Chicago · ★4.96 · 2 bedrooms · 2 beds · 1 bath,54406799,Angelica,NA,Bridgeport,41.838028667132825,-87.64922376295165,Entire home/apt,141,1,53,2023-12-03,4.72,1,0,53,R22000084569
598647855022557200,Condo in Chicago · ★4.25 · 5 bedrooms · 5 beds · 3 baths,77414650,Red Door,NA,Woodlawn,41.77803,-87.59305,Entire home/apt,943,32,4,2022-07-31,0.22,21,365,0,R19000046222
598723796403611600,Rental unit in Chicago · ★4.55 · 1 bedroom · 1 bed · 2 shared baths,436959191,Yan Na,NA,Bridgeport,41.84752,-87.64548,Private room,43,1,56,2023-10-10,2.89,20,340,27,R22000080118
594221998336275700,Rental unit in Chicago · ★5.0 · 3 bedrooms · 3 beds · 1 bath,451998312,Ryan,NA,Logan Square,41.92877,-87.72403,Entire home/apt,236,2,49,2023-10-24,2.58,1,260,25,R22000083171
598736322862370600,Condo in Chicago · ★4.85 · 4 bedrooms · 7 beds · 3 baths,246090809,Niyati,NA,West Town,41.90828,-87.66388,Entire home/apt,324,3,46,2023-11-25,2.23,1,0,28,R22000079783
594771380534797e3,Rental unit in Chicago · ★4.92 · 2 bedrooms · 3 beds · 2 baths,248760412,Cloud9,NA,Near North Side,41.8965,-87.63007,Entire home/apt,267,2,58,2023-11-26,2.98,51,0,37,R22000079967
594772145650770700,Rental unit in Chicago · ★4.90 · 2 bedrooms · 3 beds · 2 baths,248760412,Cloud9,NA,Near North Side,41.89701,-87.63191,Entire home/apt,344,2,51,2023-12-13,2.66,51,0,29,R22000079964
594773722624435e3,Rental unit in Chicago · ★4.71 · 2 bedrooms · 2 beds · 2 baths,248760412,Cloud9,NA,Near North Side,41.89827,-87.63013,Entire home/apt,258,2,28,2023-12-03,1.51,51,351,17,R22000079969
598752068768412e3,Home in Chicago · ★4.71 · 4 bedrooms · 6 beds · 2 baths,452946823,Antonio,NA,Dunning,41.94719112637404,-87.80058942332143,Entire home/apt,395,2,7,2023-11-05,1.24,1,364,7,R23000101476
594937541144766700,Home in Chicago · ★4.59 · 3 bedrooms · 5 beds · 2 baths,452122854,Seven Properties,NA,Fuller Park,41.81539,-87.63297,Entire home/apt,141,2,27,2023-11-25,1.41,4,355,17,R22000082350
5.9910180891176806e+17,Rental unit in Chicago · ★4.99 · 1 bedroom · 1 bed · 1 bath,300921150,Gogo,NA,Lower West Side,41.8515,-87.68064,Entire home/apt,72,2,97,2023-12-16,5.6,1,0,65,R22000084872
